iter	Passed	Remaining
0	1	100
1	1	87
2	2	81
3	3	73
4	3	71
5	4	69
6	5	67
7	5	66
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	56
17	12	55
18	12	54
19	13	53
20	14	52
21	14	51
22	15	51
23	15	50
24	16	49
25	17	48
26	18	48
27	19	49
28	19	48
29	20	48
30	21	47
31	21	46
32	22	45
33	23	44
34	23	43
35	24	43
36	24	42
37	25	41
38	26	40
39	26	39
40	27	39
41	27	37
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	32	31
51	33	30
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	10
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
