iter	Passed	Remaining
0	1	1021
1	1	928
2	2	862
3	3	868
4	4	842
5	4	803
6	5	785
7	6	797
8	7	868
9	8	862
10	9	851
11	10	844
12	10	830
13	11	818
14	12	819
15	13	835
16	14	837
17	15	827
18	15	817
19	16	808
20	17	801
21	17	797
22	18	794
23	19	789
24	20	789
25	21	789
26	21	782
27	22	778
28	23	777
29	23	775
30	24	775
31	25	780
32	26	786
33	27	791
34	28	797
35	29	793
36	30	789
37	31	790
38	32	788
39	32	786
40	33	783
41	34	780
42	34	776
43	35	773
44	36	769
45	37	767
46	37	764
47	38	760
48	38	756
49	39	756
50	40	759
51	41	762
52	43	769
53	43	770
54	44	769
55	45	766
56	46	764
57	46	761
58	47	761
59	48	761
60	49	758
61	49	755
62	50	753
63	51	749
64	51	746
65	52	745
66	53	743
67	54	742
68	54	741
69	55	739
70	56	737
71	56	734
72	57	731
73	58	727
74	58	724
75	59	721
76	59	718
77	60	715
78	61	712
79	61	710
80	62	707
81	62	704
82	63	699
83	64	698
84	64	696
85	65	695
86	66	693
87	66	691
88	67	689
89	67	687
90	68	685
91	69	682
92	69	680
93	70	678
94	70	676
95	71	674
96	72	671
97	72	670
98	73	667
99	73	665
100	74	664
101	75	663
102	76	661
103	77	667
104	78	668
105	79	667
106	79	667
107	80	667
108	81	667
109	82	667
110	83	666
111	84	667
112	85	667
113	85	667
114	86	667
115	87	668
116	88	667
117	89	667
118	90	669
119	91	673
120	92	673
121	93	672
122	94	673
123	95	673
124	96	673
125	97	672
126	97	671
127	98	670
128	99	670
129	100	671
130	101	671
131	102	671
132	103	673
133	104	674
134	105	673
135	105	672
136	106	672
137	107	671
138	108	671
139	109	670
140	109	669
141	110	668
142	111	668
143	112	667
144	113	667
145	114	667
146	115	668
147	116	667
148	116	667
149	117	666
150	118	666
151	119	665
152	120	665
153	120	664
154	121	663
155	122	663
156	123	663
157	124	663
158	125	662
159	126	662
160	126	661
161	127	661
162	128	660
163	129	660
164	130	659
165	131	659
166	131	658
167	132	657
168	133	657
169	134	656
170	135	656
171	136	655
172	137	655
173	138	655
174	139	655
175	139	655
176	140	654
177	141	653
178	142	652
179	143	652
180	143	651
181	144	650
182	145	649
183	146	649
184	147	648
185	148	648
186	148	647
187	149	647
188	150	647
189	151	647
190	152	646
191	153	646
192	154	645
193	155	645
194	156	644
195	156	643
196	157	642
197	158	641
198	159	641
199	160	641
200	161	640
201	161	639
202	162	639
203	163	639
204	164	639
205	165	638
206	166	637
207	167	636
208	167	635
209	168	634
210	169	634
211	170	633
212	171	632
213	172	632
214	173	632
215	174	631
216	175	631
217	175	631
218	176	630
219	177	629
220	178	628
221	179	627
222	179	626
223	180	625
224	181	624
225	182	624
226	183	623
227	183	622
228	184	622
229	185	621
230	186	620
231	187	620
232	188	619
233	188	618
234	189	617
235	190	616
236	191	616
237	192	615
238	193	614
239	193	613
240	194	613
241	195	612
242	196	612
243	197	613
244	198	612
245	199	611
246	200	611
247	201	610
248	202	609
249	203	609
250	203	608
251	204	607
252	205	606
253	206	605
254	206	604
255	208	604
256	209	604
257	209	603
258	210	602
259	211	601
260	212	600
261	213	600
262	213	599
263	214	598
264	215	597
265	216	596
266	217	595
267	217	594
268	218	594
269	219	593
270	220	593
271	221	592
272	222	591
273	223	591
274	223	590
275	224	589
276	225	589
277	226	588
278	227	587
279	227	586
280	228	584
281	229	583
282	229	581
283	230	580
284	230	578
285	231	577
286	232	576
287	232	575
288	233	574
289	233	572
290	234	571
291	235	570
292	235	569
293	237	569
294	238	569
295	239	569
296	240	569
297	241	569
298	243	570
299	244	569
300	244	568
301	245	566
302	245	565
303	246	564
304	247	564
305	249	565
306	249	564
307	250	562
308	251	561
309	251	560
310	252	558
311	252	557
312	253	557
313	254	555
314	255	554
315	255	553
